Algorithm,Instance,Nanoseconds,Seconds,Minutes,Mean,Best
Genetic,Falkenauer_t60_00.txt,4390596350.00,3.80,0,21.80,21
Genetic,Falkenauer_t60_01.txt,4985782300.00,4.40,0,22.00,22
Genetic,Falkenauer_t60_02.txt,4745947990.00,4.10,0,21.90,21
Genetic,Falkenauer_t60_03.txt,4491610330.00,4.10,0,22.00,22
Genetic,Falkenauer_t60_04.txt,4895200950.00,4.10,0,22.00,22
Genetic,Falkenauer_t60_05.txt,4786804360.00,4.00,0,21.90,21
Genetic,Falkenauer_t60_06.txt,4828187600.00,4.00,0,22.00,22
Genetic,Falkenauer_t60_07.txt,4877157280.00,4.10,0,22.00,22
Genetic,Falkenauer_t60_08.txt,4819190820.00,4.10,0,21.90,21
Genetic,Falkenauer_t60_09.txt,4715675050.00,4.00,0,22.00,22
Genetic,Falkenauer_t60_10.txt,4789667510.00,4.00,0,21.80,21
Genetic,Falkenauer_t60_11.txt,4709473200.00,4.10,0,21.90,21
Genetic,Falkenauer_t60_12.txt,4261223690.00,4.00,0,21.80,21
Genetic,Falkenauer_t60_13.txt,4291218020.00,4.00,0,22.00,22
Genetic,Falkenauer_t60_14.txt,4296761660.00,4.00,0,21.90,21
Genetic,Falkenauer_t60_15.txt,4355840810.00,4.00,0,22.00,22
Genetic,Falkenauer_t60_16.txt,4319818950.00,4.00,0,22.00,22
Genetic,Falkenauer_t60_17.txt,3976267850.00,3.20,0,22.00,22
Genetic,Falkenauer_t60_18.txt,3893382670.00,3.20,0,21.90,21
Genetic,Falkenauer_t60_19.txt,3862831240.00,3.10,0,21.90,21
