Algorithm,Instance,Nanoseconds,Seconds,Minutes,Mean,Best
Genetic,Hard28_BPP119.txt,18003345280.00,17.40,0,77.00,77
Genetic,Hard28_BPP13.txt,16613396510.00,16.10,0,68.00,68
Genetic,Hard28_BPP14.txt,14450029610.00,14.00,0,62.00,62
Genetic,Hard28_BPP144.txt,17514507530.00,16.90,0,74.00,74
Genetic,Hard28_BPP175.txt,16645057720.00,16.10,0,84.00,84
Genetic,Hard28_BPP178.txt,15139307580.00,14.60,0,81.00,81
Genetic,Hard28_BPP181.txt,13081061400.00,12.70,0,73.00,73
Genetic,Hard28_BPP195.txt,13107204300.00,13.00,0,65.00,65
Genetic,Hard28_BPP359.txt,13074128460.00,12.70,0,76.00,76
Genetic,Hard28_BPP360.txt,11784036140.00,11.20,0,63.00,63
Genetic,Hard28_BPP40.txt,11867868070.00,11.30,0,60.00,60
Genetic,Hard28_BPP419.txt,15083326710.00,14.60,0,81.00,81
Genetic,Hard28_BPP47.txt,13203594220.00,12.80,0,72.00,72
Genetic,Hard28_BPP485.txt,13244598610.00,13.00,0,72.00,72
Genetic,Hard28_BPP531.txt,15344484870.00,15.00,0,84.00,84
Genetic,Hard28_BPP561.txt,15057532640.00,14.60,0,73.00,73
Genetic,Hard28_BPP60.txt,11759121650.00,11.10,0,64.00,64
Genetic,Hard28_BPP640.txt,13480665960.00,13.00,0,75.00,75
Genetic,Hard28_BPP645.txt,11352749420.00,11.00,0,59.00,59
Genetic,Hard28_BPP709.txt,12963652860.00,12.30,0,68.00,68
Genetic,Hard28_BPP716.txt,12958245300.00,12.40,0,76.00,76
Genetic,Hard28_BPP742.txt,11299579220.00,11.00,0,65.00,65
Genetic,Hard28_BPP766.txt,11394565540.00,11.00,0,63.00,63
Genetic,Hard28_BPP781.txt,14611587710.00,14.00,0,72.00,72
Genetic,Hard28_BPP785.txt,13102503570.00,12.60,0,69.00,69
Genetic,Hard28_BPP814.txt,15964283400.00,15.60,0,82.00,82
Genetic,Hard28_BPP832.txt,11422340970.00,11.00,0,61.00,61
Genetic,Hard28_BPP900.txt,14703559480.00,14.10,0,76.00,76
