Algorithm,Instance,Nanoseconds,Seconds,Minutes,Mean,Best
Genetic,N1C1W1_B.txt,32020.00,0,0,31.00,31
Genetic,N1C1W1_C.txt,3816498240.00,3.30,0,21.00,21
Genetic,N1C1W1_N.txt,4006263420.00,3.20,0,26.00,26
Genetic,N1C2W1_H.txt,38050.00,0,0,23.00,23
Genetic,N1C2W1_I.txt,37690.00,0,0,27.00,27
Genetic,N1C2W1_K.txt,39810.00,0,0,24.00,24
Genetic,N1C2W1_L.txt,39650.00,0,0,25.00,25
Genetic,N1C3W1_F.txt,52910.00,0,0,20.00,20
Genetic,N2C1W1_A.txt,8193213780.00,7.60,0,48.00,48
Genetic,N2C2W1_J.txt,87190.00,0,0,42.00,42
Genetic,N2C3W1_A.txt,80670.00,0,0,35.00,35
Genetic,N3C1W1_A.txt,16439389660.00,16.00,0,105.90,105
Genetic,N3C1W4_S.txt,101570.00,0,0,145.00,145
Genetic,N4C1W1_L.txt,373410.00,0,0,258.00,258
Genetic,N4C1W1_M.txt,46639150310.00,46.10,0,246.00,246
