Algorithm,Instance,Nanoseconds,Seconds,Minutes,Mean,Best
Genetic,N1W1B1R0.txt,3912047870.00,3.40,0,19.00,19
Genetic,N1W1B1R1.txt,4178027910.00,3.70,0,19.00,19
Genetic,N1W1B1R3.txt,4022325550.00,3.70,0,19.00,19
Genetic,N1W1B1R4.txt,2715784630.00,2.30,0,17.70,17
Genetic,N1W1B1R5.txt,4121140020.00,3.80,0,18.00,18
Genetic,N1W1B1R6.txt,4113849340.00,3.90,0,18.60,18
Genetic,N1W1B1R7.txt,4025834430.00,3.80,0,18.00,18
Genetic,N1W1B1R8.txt,4057104110.00,3.70,0,19.00,19
Genetic,N1W1B3R0.txt,42100.00,0,0,17.00,17
Genetic,N1W1B3R7.txt,4028226170.00,3.40,0,19.00,19
Genetic,N1W3B2R0.txt,34240.00,0,0,8.00,8
Genetic,N1W3B3R4.txt,37030.00,0,0,8.00,8
Genetic,N1W4B1R8.txt,30130.00,0,0,6.00,6
Genetic,N2W1B1R0.txt,8495910040.00,8.00,0,36.00,35
Genetic,N2W1B1R6.txt,8496629030.00,8.00,0,37.50,37
Genetic,N2W4B2R1.txt,60340.00,0,0,11.00,11
Genetic,N3W4B3R0.txt,154730.00,0,0,24.00,24
Genetic,N4W4B3R4.txt,401880.00,0,0,55.00,55
Genetic,N4W4B3R6.txt,377180.00,0,0,58.00,58
Genetic,N4W4B3R9.txt,392100.00,0,0,56.00,56
