Algorithm,Instance,Nanoseconds,Seconds,Minutes,Mean,Best
GRASP,Falkenauer_t60_00.txt,3353285560.00,2.90,0,22.00,22
GRASP,Falkenauer_t60_01.txt,3356134580.00,3.00,0,22.00,22
GRASP,Falkenauer_t60_02.txt,3164283350.00,3.00,0,21.90,21
GRASP,Falkenauer_t60_03.txt,3244040160.00,3.00,0,21.90,21
GRASP,Falkenauer_t60_04.txt,3277090260.00,3.00,0,21.90,21
GRASP,Falkenauer_t60_05.txt,3241241060.00,3.00,0,21.90,21
GRASP,Falkenauer_t60_06.txt,3322341230.00,3.00,0,21.90,21
GRASP,Falkenauer_t60_07.txt,3259689720.00,3.00,0,22.00,22
GRASP,Falkenauer_t60_08.txt,3261493760.00,3.00,0,21.90,21
GRASP,Falkenauer_t60_09.txt,3238479320.00,3.00,0,21.90,21
GRASP,Falkenauer_t60_10.txt,3258464430.00,3.00,0,22.00,22
GRASP,Falkenauer_t60_11.txt,3362976390.00,3.00,0,22.00,22
GRASP,Falkenauer_t60_12.txt,2879230860.00,2.10,0,22.00,22
GRASP,Falkenauer_t60_13.txt,2798713110.00,2.00,0,21.90,21
GRASP,Falkenauer_t60_14.txt,2817811100.00,2.00,0,21.90,21
GRASP,Falkenauer_t60_15.txt,2862205320.00,2.10,0,22.00,22
GRASP,Falkenauer_t60_16.txt,2876555180.00,2.20,0,21.80,21
GRASP,Falkenauer_t60_17.txt,2862487180.00,2.20,0,22.00,22
GRASP,Falkenauer_t60_18.txt,2883648180.00,2.00,0,22.00,22
GRASP,Falkenauer_t60_19.txt,2867132690.00,2.10,0,21.90,21
