Algorithm,Instance,Nanoseconds,Seconds,Minutes,Mean,Best
GRASP,Hard28_BPP119.txt,58438101050.00,57.90,.40,77.00,77
GRASP,Hard28_BPP13.txt,39203966660.00,38.70,0,68.00,68
GRASP,Hard28_BPP14.txt,26697732630.00,26.10,0,62.00,62
GRASP,Hard28_BPP144.txt,49446559100.00,48.90,.10,74.00,74
GRASP,Hard28_BPP175.txt,57746185510.00,57.40,.10,84.00,84
GRASP,Hard28_BPP178.txt,51307347830.00,50.80,0,81.00,81
GRASP,Hard28_BPP181.txt,38551185310.00,38.20,0,73.00,73
GRASP,Hard28_BPP195.txt,41179467990.00,40.60,0,65.00,65
GRASP,Hard28_BPP359.txt,40033590760.00,39.70,0,76.00,76
GRASP,Hard28_BPP360.txt,27527021170.00,27.00,0,63.00,63
GRASP,Hard28_BPP40.txt,26699741730.00,26.30,0,60.00,60
GRASP,Hard28_BPP419.txt,48945524650.00,48.30,0,81.00,81
GRASP,Hard28_BPP47.txt,29578962270.00,29.10,0,72.00,72
GRASP,Hard28_BPP485.txt,36495830820.00,36.00,0,72.00,72
GRASP,Hard28_BPP531.txt,47789873750.00,47.30,0,84.00,84
GRASP,Hard28_BPP561.txt,39925766820.00,39.60,0,73.00,73
GRASP,Hard28_BPP60.txt,25610080670.00,25.10,0,64.00,64
GRASP,Hard28_BPP640.txt,39189024120.00,38.80,0,75.00,75
GRASP,Hard28_BPP645.txt,25956094020.00,25.40,0,59.00,59
GRASP,Hard28_BPP709.txt,41221437920.00,40.60,0,68.00,68
GRASP,Hard28_BPP716.txt,38152569490.00,37.70,0,76.00,76
GRASP,Hard28_BPP742.txt,26826616120.00,26.30,0,65.00,65
GRASP,Hard28_BPP766.txt,27801764700.00,27.40,0,63.00,63
GRASP,Hard28_BPP781.txt,43871026590.00,43.40,0,72.00,72
GRASP,Hard28_BPP785.txt,35912686480.00,35.30,0,69.00,69
GRASP,Hard28_BPP814.txt,49886985270.00,49.40,0,82.00,82
GRASP,Hard28_BPP832.txt,28015830800.00,27.60,0,61.00,61
GRASP,Hard28_BPP900.txt,38212804810.00,37.70,0,76.00,76
