Algorithm,Instance,Nanoseconds,Seconds,Minutes,Mean,Best
GRASP,N1C1W1_B.txt,40310.00,0,0,31.00,31
GRASP,N1C1W1_C.txt,2794846790.00,2.00,0,21.00,21
GRASP,N1C1W1_N.txt,2579834870.00,2.00,0,26.00,26
GRASP,N1C2W1_H.txt,42280.00,0,0,23.00,23
GRASP,N1C2W1_I.txt,39980.00,0,0,27.00,27
GRASP,N1C2W1_K.txt,39450.00,0,0,24.00,24
GRASP,N1C2W1_L.txt,43810.00,0,0,25.00,25
GRASP,N1C3W1_F.txt,43790.00,0,0,20.00,20
GRASP,N2C1W1_A.txt,6958655740.00,6.40,0,48.00,48
GRASP,N2C2W1_J.txt,71610.00,0,0,42.00,42
GRASP,N2C3W1_A.txt,79610.00,0,0,35.00,35
GRASP,N3C1W1_A.txt,26710267320.00,26.30,0,106.00,106
GRASP,N3C1W4_S.txt,100510.00,0,0,145.00,145
GRASP,N4C1W1_L.txt,351030.00,0,0,258.00,258
GRASP,N4C1W1_M.txt,203313445210.00,202.70,3.10,246.00,246
