Algorithm,Instance,Nanoseconds,Seconds,Minutes,Mean,Best
GRASP,N1W1B1R0.txt,2408690800.00,2.00,0,18.90,18
GRASP,N1W1B1R1.txt,2443207740.00,2.00,0,18.80,18
GRASP,N1W1B1R3.txt,2457692230.00,2.00,0,18.90,18
GRASP,N1W1B1R4.txt,2505769020.00,1.80,0,17.70,17
GRASP,N1W1B1R5.txt,2622889580.00,2.00,0,17.90,17
GRASP,N1W1B1R6.txt,2897848140.00,2.10,0,18.60,18
GRASP,N1W1B1R7.txt,2476034460.00,2.00,0,18.00,18
GRASP,N1W1B1R8.txt,2650578590.00,2.00,0,18.70,18
GRASP,N1W1B3R0.txt,46580.00,0,0,17.00,17
GRASP,N1W1B3R7.txt,2697101730.00,2.00,0,19.00,19
GRASP,N1W3B2R0.txt,38490.00,0,0,8.00,8
GRASP,N1W3B3R4.txt,40510.00,0,0,8.00,8
GRASP,N1W4B1R8.txt,31830.00,0,0,6.00,6
GRASP,N2W1B1R0.txt,7939642080.00,7.40,0,36.40,36
GRASP,N2W1B1R6.txt,6900951340.00,6.30,0,37.90,37
GRASP,N2W4B2R1.txt,64740.00,0,0,11.00,11
GRASP,N3W4B3R0.txt,152400.00,0,0,24.00,24
GRASP,N4W4B3R4.txt,382300.00,0,0,55.00,55
GRASP,N4W4B3R6.txt,343350.00,0,0,58.00,58
GRASP,N4W4B3R9.txt,369320.00,0,0,56.00,56
